Iteration,Max Fitness,Mean Fitness,Mean Links,Max Links
28,13.313928093314281,6.213259335044286,3.85,11
29,13.299,5.735,4.0,9
29,13.298505720986011,5.735013711721733,3.6,9
30,13.526,5.582,4.0,9
30,13.525627493555145,5.581794991639811,4.0,9
31,12.896,5.815,5.0,12
31,12.896170931642624,5.814758264123628,4.95,12
32,12.916,3.493,4.0,7
32,12.915826317725536,3.492703371008074,3.5,7
33,13.526,4.116,3.0,5
33,13.525627493555145,4.1160157346308335,2.75,5
34,12.597,5.983,4.0,7
34,12.596830828255987,5.983356417315936,3.55,7
35,12.978,4.923,4.0,10
35,12.977764052181126,4.922918223602425,4.25,10
36,13.526,4.873,4.0,10
36,13.525627493555145,4.873093794257667,4.35,10
37,12.585,5.12,5.0,15
37,12.584719859825977,5.119721413813257,5.2,15
38,16.13,6.182,6.0,27
38,16.130174852505416,6.181626689985019,5.75,27
39,15.513,4.947,6.0,28
39,15.512860408853197,4.947232720359449,5.95,28
40,13.14,4.643,5.0,19
40,13.139876784378501,4.6426522244074935,4.55,19
41,15.228,6.735,6.0,19
41,15.227824667016016,6.734627688425789,5.75,19
42,14.814,6.076,6.0,21
42,14.813925660599784,6.075823834135416,6.3,21
43,15.228,6.276,7.0,40
43,15.227824667016016,6.276139800990441,7.4,40
44,15.513,4.474,6.0,31
44,15.512860408853197,4.473930128064253,6.25,31
45,15.903,5.813,4.0,10
45,15.903197429959059,5.813126896500492,4.0,10
46,15.445,5.969,4.0,9
46,15.445164674137443,5.969404067935861,4.15,9
47,15.629,5.046,4.0,8
47,15.629340834666548,5.046212146009774,4.3,8
48,15.903,6.36,4.0,15
48,15.903197429959059,6.3598872291906785,4.5,15
49,15.513,6.082,5.0,15
49,15.512860408853197,6.08229219839823,5.15,15
50,15.228,5.321,4.0,15
50,15.227824667016016,5.320836763619317,3.95,15
51,15.513,4.835,4.0,13
51,15.512860408853197,4.835289703135272,3.5,13
52,12.861,5.189,5.0,13
52,12.861391029349821,5.1893346727590295,4.8,13
53,15.228,6.323,5.0,13
53,15.227824667016016,6.322699044461848,4.55,13
54,14.882,6.19,5.0,13
54,14.882224050800327,6.189506528639617,5.2,13
55,14.824,6.267,4.0,10
55,14.82430282942998,6.267226900320816,4.05,10
56,14.882,6.323,4.0,10
56,14.882224050800327,6.3228385888896925,4.15,10
57,14.872,5.457,4.0,10
57,14.872391278211294,5.457375074338563,3.6,10
58,14.824,4.512,3.0,13
58,14.82430282187243,4.512021608098776,3.1,13
59,14.872,4.818,4.0,22
59,14.872391237761061,4.8183222290931065,3.85,22
60,14.859,5.25,3.0,31
60,14.859104668969856,5.2504411867614325,3.45,31
61,14.872,8.459,2.0,7
61,14.872391237761061,8.459072493800146,2.5,7
62,14.882,6.701,3.0,10
62,14.882224050800327,6.700812577863172,2.75,10
63,14.859,5.458,3.0,10
63,14.859104668969856,5.457657402734688,3.0,10
64,14.824,6.816,2.0,4
64,14.82430282187243,6.81566229906777,2.3,4
65,14.872,7.116,2.0,7
65,14.872391237761061,7.115629682526995,2.15,7
66,14.882,5.825,2.0,4
66,14.882224050800327,5.82475203911694,1.7,4
67,14.882,5.851,2.0,6
67,14.882223174290672,5.851114478112316,2.25,6
68,14.848,8.014,2.0,5
68,14.847627421900176,8.013702282663125,1.85,5
69,14.824,7.879,2.0,10
69,14.82430282187243,7.878710121323176,2.25,10
70,14.882,7.419,2.0,6
70,14.882224050800327,7.418964211340642,1.9,6
71,14.882,5.604,2.0,7
71,14.882224050800327,5.603617341441932,2.05,7
72,14.872,6.876,1.0,3
72,14.872391351189185,6.876317544400227,1.45,3
73,14.848,7.764,2.0,4
73,14.847627446830897,7.763680567626835,1.5,4
74,14.824,8.057,1.0,3
74,14.82430282187243,8.057498380585908,1.25,3
75,14.844,7.657,1.0,3
75,14.843790586655397,7.6566286224612154,1.35,3
76,14.872,8.683,2.0,7
76,14.872391237761061,8.68319556203423,1.55,7
77,14.882,8.156,1.0,6
77,14.882224050800327,8.156156153085961,1.45,6
78,14.882,7.424,1.0,4
78,14.882224050800327,7.423630802214602,1.45,4
79,14.872,6.956,1.0,3
79,14.872391237761061,6.956069490578715,1.45,3
80,14.848,7.288,2.0,4
80,14.847627421900176,7.287923477976801,1.6,4
81,14.824,6.793,2.0,5
81,14.82430282187243,6.792946249420981,1.95,5
82,14.859,7.818,2.0,10
82,14.859104668969856,7.817728577259551,2.4,10
83,14.882,7.267,2.0,5
83,14.882224050800327,7.266748675248022,1.75,5
84,14.872,7.102,2.0,4
84,14.872391237761061,7.102433056908145,1.65,4
85,14.848,7.006,2.0,4
85,14.847627421900176,7.006409819642739,1.8,4
86,14.859,6.832,2.0,4
86,14.859104668969856,6.832188204333422,1.7,4
87,14.872,6.65,2.0,4
87,14.872391237761061,6.649946939772934,1.7,4
88,14.882,7.763,2.0,9
88,14.882224050800327,7.762504648228747,2.0,9
89,14.882,6.319,2.0,9
89,14.882224050800327,6.318624247016443,2.45,9
90,14.848,7.642,2.0,9
90,14.847627421900176,7.641521894591688,2.4,9
91,14.859,6.803,2.0,10
91,14.859104668969856,6.803103266420571,2.2,10
92,14.882,7.12,2.0,5
92,14.882224050800327,7.120127384047338,2.2,5
93,14.882,7.835,3.0,13
93,14.882224050800327,7.835324465529358,3.05,13
94,14.848,6.606,3.0,7
94,14.847627421900176,6.605726466103246,2.55,7
95,14.824,5.975,2.0,7
95,14.82430282187243,5.974644826633378,2.35,7
96,14.859,6.818,2.0,7
96,14.859104716286414,6.817595056213695,1.95,7
97,14.882,7.516,2.0,4
97,14.882224050800327,7.515964162189323,1.6,4
98,14.882,8.206,2.0,3
98,14.882224049651391,8.206226496751317,1.7,3
99,14.848,6.831,2.0,5
99,14.847627428188572,6.830640462251111,1.75,5
