Pop Size,Gene Count,Point Mutate Rate,Shrink Mutate Rate,Grow Mutate Rate,Iteration,Max Fitness,Mean Fitness,Mean Links,Max Links
10,3,0.1,0.25,0.1,0,9.127,3.396,6.0,13
10,3,0.1,0.25,0.1,0,9.126732478575562,3.395573172838791,5.9,13
10,3,0.1,0.25,0.1,1,9.58,3.443,6.0,13
10,3,0.1,0.25,0.1,1,9.580175443589427,3.4427747832557207,5.9,13
10,3,0.1,0.25,0.1,2,9.75,3.201,4.0,7
10,3,0.1,0.25,0.1,2,9.749796029318109,3.2005840568045345,4.0,7
10,3,0.1,0.25,0.1,3,12.703,6.696,4.0,7
10,3,0.1,0.25,0.1,3,12.70335891275199,6.696338804463626,3.8,7
10,3,0.1,0.25,0.1,4,12.626,5.735,5.0,7
10,3,0.1,0.25,0.1,4,12.62583060511539,5.734789493162718,4.6,7
10,3,0.1,0.25,0.1,5,13.507,7.479,5.0,8
10,3,0.1,0.25,0.1,5,13.506950428353946,7.479056617903458,5.0,8
10,3,0.1,0.25,0.1,6,14.643,5.266,7.0,22
10,3,0.1,0.25,0.1,6,14.642954490474551,5.2662647366197515,7.1,22
10,3,0.1,0.25,0.1,7,13.263,5.26,8.0,19
10,3,0.1,0.25,0.1,7,13.263191865906558,5.260406555931419,7.9,19
10,3,0.1,0.25,0.1,8,13.193,6.326,11.0,28
10,3,0.1,0.25,0.1,8,13.193328509386424,6.325903108000129,11.1,28
10,3,0.1,0.25,0.1,9,13.331,6.178,8.0,31
10,3,0.1,0.25,0.1,9,13.330963049758637,6.17756838339521,8.2,31
10,3,0.1,0.25,0.1,10,13.375,7.062,7.0,15
10,3,0.1,0.25,0.1,10,13.374930134488793,7.06213798109985,7.0,15
10,3,0.1,0.25,0.1,11,14.899,7.131,6.0,10
10,3,0.1,0.25,0.1,11,14.899206944916143,7.130844282378798,5.9,10
10,3,0.1,0.25,0.1,12,12.999,6.713,8.0,16
10,3,0.1,0.25,0.1,12,12.999427043537835,6.712882209736939,8.1,16
10,3,0.1,0.25,0.1,13,13.41,6.17,7.0,12
10,3,0.1,0.25,0.1,13,13.409717580733687,6.169586092115063,7.2,12
10,3,0.1,0.25,0.1,14,14.667,6.138,7.0,12
10,3,0.1,0.25,0.1,14,14.667099624790593,6.138111239510684,6.9,12
10,3,0.1,0.25,0.1,15,13.333,4.476,6.0,11
10,3,0.1,0.25,0.1,15,13.332859257238093,4.476137682514591,5.9,11
10,3,0.1,0.25,0.1,16,12.98,5.189,4.0,7
10,3,0.1,0.25,0.1,16,12.980125502506516,5.188976651752131,3.9,7
10,3,0.1,0.25,0.1,17,13.469,4.378,4.0,9
10,3,0.1,0.25,0.1,17,13.469425833174494,4.378019160682778,4.1,9
10,3,0.1,0.25,0.1,18,13.484,4.16,6.0,19
10,3,0.1,0.25,0.1,18,13.48427050618084,4.1595982002634475,6.4,19
10,3,0.1,0.25,0.1,19,13.509,5.659,10.0,25
10,3,0.1,0.25,0.1,19,13.508808058415324,5.659492434401303,10.0,25
10,3,0.1,0.25,0.1,20,12.966,4.75,14.0,31
10,3,0.1,0.25,0.1,20,12.966274246779433,4.7502038545762755,14.4,31
10,3,0.1,0.25,0.1,21,13.051,4.826,14.0,40
